id	county	state	total	retire_workers	retire_wives_husbands	retire_children	survivor_widows	survivor_children	disability_workers	disability_wives_husbands	disability_children	men65plus	women65plus
1	"Alabama, total"	Alabama	697314	377593	56261	10435	112608	41723	66145	7232	25317	183036	289116
2	Autauga	Alabama	4680	2520	350	90	745	335	420	50	170	1220	1825
3	Baldwin	Alabama	18095	10935	1660	230	2435	910	1275	160	490	5465	7370
4	Barbour	Alabama	4565	2515	325	60	750	240	440	55	180	1210	1950
5	Bibb	Alabama	3065	1450	265	40	570	215	335	45	145	750	1225
6	Blount	Alabama	5515	2880	585	55	925	260	580	55	175	1530	2255
7	Bullock	Alabama	2300	1210	170	55	380	185	190	15	95	625	965
8	Butler	Alabama	4645	2530	345	85	750	285	400	45	205	1230	1955
9	Calhoun	Alabama	20390	11105	1585	250	3210	1070	2155	230	785	5155	8535
10	Chambers	Alabama	8025	5275	325	70	945	415	690	55	250	2245	3550
11	Cherokee	Alabama	3530	1905	295	30	525	200	405	40	130	980	1365
12	Chilton	Alabama	5855	2895	585	95	1010	375	595	85	215	1555	2350
13	Choctaw	Alabama	3110	1495	260	55	575	215	315	50	145	825	1160
14	Clarke	Alabama	5315	2625	440	125	915	480	425	60	245	1375	2080
15	Clay	Alabama	2835	1545	210	45	395	160	310	40	130	780	1125
16	Cleburne	Alabama	2370	1240	185	25	345	135	295	35	110	620	920
17	Coffee	Alabama	6630	3810	570	90	1000	375	550	55	180	1840	2840
18	Colbert	Alabama	10205	5240	1060	125	1735	485	1080	120	360	2750	4150
19	Conecuh 	Alabama	2965	1605	260	45	470	165	270	35	115	815	1230
20	Coosa	Alabama	2105	1120	145	35	295	140	250	30	90	580	750
21	Covington	Alabama	8620	5260	500	110	1130	420	830	90	280	2330	3725
22	Crenshaw	Alabama	3040	1740	230	45	515	170	245	25	70	855	1345
23	Cullman	Alabama	13120	7040	1400	150	2125	640	1190	165	410	3660	5485
24	Dale	Alabama	6685	3685	525	100	1075	455	540	65	240	1840	2715
25	Dallas	Alabama	9775	5245	615	200	1500	740	920	100	455	2395	3990
26	De Kalb	Alabama	10510	5505	975	    	1730	545	1085	140	425	2795	4360
27	Elmore	Alabama	8310	4690	600	160	1235	625	675	70	255	2240	3400
28	Escambia	Alabama	6750	3650	500	120	1120	440	610	85	225	1775	2795
29	Etowah	Alabama	21505	11135	2065	325	3845	1040	2050	270	775	5655	9085
30	Fayette	Alabama	3455	1925	310	45	535	165	335	30	110	980	1485
31	Franklin	Alabama	6220	3130	610	45	1085	255	785	95	215	1645	2545
32	Geneva	Alabama	5215	3045	430	90	790	210	435	50	165	1520	2255
33	Greene	Alabama	1995	955	190	55	350	135	185	15	110	525	780
34	Hale	Alabama	3280	1695	295	70	570	245	250	30	125	940	1320
35	Henry	Alabama	3130	1700	265	30	535	180	245	35	140	845	1345
36	Houston	Alabama	12845	7340	945	150	1960	765	1165	115	405	3380	5420
37	Jackson	Alabama	9100	4635	810	140	1435	545	1035	150	350	2365	3485
38	Jefferson	Alabama	123685	66815	10235	2175	21775	6915	10705	1065	4000	31715	53790
39	Lamar	Alabama	3260	1900	230	30	455	175	340	25	105	885	1365
40	Lauderdale	Alabama	15200	8130	1580	155	2515	655	1460	180	525	4135	6360
41	Lawrence	Alabama	4550	2155	445	70	785	300	550	60	185	1190	1695
42	Lee	Alabama	9515	5660	515	80	1305	635	945	65	310	2495	3990
43	Limestone	Alabama	7500	3905	715	90	1285	415	730	80	280	1975	3095
44	Lowndes	Alabama	1965	960	155	70	315	205	150	15	95	505	730
45	Macon	Alabama	3920	2215	250	60	595	300	325	25	150	1065	1660
46	Madison	Alabama	26675	15345	2245	285	4055	1665	2195	190	695	7155	11380
47	Marengo	Alabama	4135	2135	295	100	710	280	365	40	210	1045	1675
48	Marion	Alabama	5910	3205	480	55	945	280	645	65	235	1605	2450
49	Marshall	Alabama	14685	7720	1375	120	2500	670	1580	180	540	3915	6045
50	Mobile	Alabama	60150	32310	4750	1105	9710	4190	5270	625	2190	15455	24440
51	Monroe	Alabama	4225	2190	310	100	685	360	370	40	170	1105	1660
52	Montgomery	Alabama	31735	18300	2000	475	4865	2190	2535	215	1155	7975	13890
53	Morgan	Alabama	16460	8890	1445	205	2545	1045	1620	170	540	4340	6675
54	Perry	Alabama	2420	1285	195	65	405	185	160	25	100	650	1005
55	Pickens	Alabama	4315	2295	320	65	730	260	415	40	190	1175	1760
56	Pike	Alabama	5410	3045	395	85	880	325	465	40	175	1465	2420
57	Randolph	Alabama	4430	2700	215	45	565	275	440	45	145	1195	1865
58	Russell	Alabama	8740	4800	455	110	1325	585	1020	105	340	2155	3435
59	St Clair	Alabama	6980	3455	620	85	1160	465	780	110	305	1795	2625
60	Shelby	Alabama	8795	4445	765	115	1435	620	940	120	355	2280	3370
61	Sumter	Alabama	2780	1390	235	60	540	205	210	25	115	720	1185
62	Talladega	Alabama	14505	7565	890	150	1950	850	2010	210	880	3530	5480
63	Tallapoosa	Alabama	7860	4880	420	75	1035	395	770	60	225	2150	3370
64	Tuscaloosa	Alabama	22110	11500	1525	420	3380	1510	2620	210	945	5530	8585
65	Walker	Alabama	15145	7125	1390	210	2815	785	1860	255	705	3785	6015
66	Washington	Alabama	2825	1330	265	85	520	195	275	40	115	765	1050
68	Wilcox	Alabama	2950	1315	270	105	535	330	225	30	140	765	1090
69	Winston	Alabama	4350	2195	385	35	725	225	525	80	180	1150	1670
70	Unknown	Alabama	365	150	35	5	60	25	55	5	30	70	130
72	"Alaska, total"	Alaska	31853	18039	1907	622	3495	3703	2816	220	1051	9043	10286
73	Aleutian Islands	Alaska	170	85	5	5	20	30	15	    	10	55	40
74	Anchorage	Alaska	11540	6555	605	175	1235	1235	1250	70	415	3000	3925
75	Angoon	Alaska	110	70	    	5	15	20	    	    	    	30	35
76	BarrowNorth Slope	Alaska	305	105	25	5	65	75	20	5	5	70	90
77	Bethel	Alaska	660	245	80	45	95	120	55	5	15	200	155
78	Bristol Bay Borough	Alaska	165	90	5	5	20	25	15	    	5	45	65
79	Bristol Bay	Alaska	395	195	30	25	55	50	15	5	20	115	110
80	CordovaMcCarthy	Alaska	170	100	10	5	25	20	10	    	    	55	65
81	Fairbanks	Alaska	3945	2300	215	70	410	445	340	25	140	1115	1205
82	Haines	Alaska	270	180	20	5	20	20	20	    	5	95	95
83	Juneau	Alaska	1955	1170	90	35	205	250	140	    	65	540	715
84	KenaiCook Inlet	Alaska	2695	1590	175	35	270	265	250	30	80	805	830
85	Ketchikan	Alaska	1250	815	80	10	125	85	100	5	30	415	455
86	Kobuk	Alaska	425	145	45	15	70	110	20	5	15	100	110
87	Kodiak	Alaska	575	315	30	10	55	100	45	5	15	175	165
88	Kuskokwim	Alaska	175	75	15	    	35	40	10	    	    	50	50
89	MatanuskaSusitna	Alaska	2515	1500	170	45	235	240	200	25	100	765	775
90	Nome	Alaska	590	230	55	30	95	135	30	5	10	160	155
91	Outer Ketchikan	Alaska	120	65	10	    	15	10	15	    	5	35	35
92	Prince Of Wales	Alaska	180	100	15	10	10	30	10	    	5	55	50
93	Seward	Alaska	400	260	25	    	55	20	25	    	15	135	135
94	Sitka	Alaska	605	390	30	    	65	45	55	    	20	180	245
95	SkagwayYakutat	Alaska	200	125	5	    	20	30	10	5	5	55	75
96	Southeast Fairbanks	Alaska	275	160	20	5	25	25	30	    	10	95	85
97	Upper Yukon	Alaska	90	45	10	    	15	10	5	    	5	30	30
98	ValdezChitinaWhittier	Alaska	435	235	30	15	45	50	40	5	15	135	115
99	Wade Hampton	Alaska	440	140	45	30	70	110	25	5	15	120	70
100	WrangellPetersburg	Alaska	595	425	30	10	45	35	40	    	10	220	220
101	YukonKoyukuk	Alaska	330	155	30	15	45	50	20	5	10	115	85
102	Unknown	Alaska	260	160	10	10	30	15	25	    	10	70	105
104	"Arizona, total"	Arizona	570023	371087	48014	5841	64318	24276	39976	3680	12831	179636	242841
105	Apache	Arizona	5970	2360	590	215	1020	1155	355	70	205	1565	1735
106	Cochise	Arizona	15825	9605	1565	335	1820	680	1190	165	465	5035	6025
107	Coconino	Arizona	10905	6450	1080	175	1265	915	670	70	280	3330	4150
108	Gila	Arizona	10190	6410	1015	115	1160	465	740	90	195	3425	3875
109	Graham	Arizona	4290	2460	490	75	540	210	320	45	150	1335	1660
110	Greenlee	Arizona	1300	750	160	30	170	55	75	15	45	440	485
111	La Paz	Arizona	2710	1805	230	35	240	110	225	15	50	965	970
112	Maricopa	Arizona	311635	207025	25045	2335	35920	12230	20830	1675	6575	97100	139385
113	Mohave	Arizona	23750	17000	1715	205	1840	655	1795	180	360	8395	9130
114	Navajo	Arizona	8630	4705	775	145	1095	925	630	80	275	2560	2935
115	Pima	Arizona	107590	68825	9440	1120	12585	3920	8350	745	2605	33040	46710
116	Pinal	Arizona	19995	12065	1665	290	2075	1180	1775	225	720	6280	7285
117	Santa Cruz	Arizona	4115	2420	455	155	475	235	240	40	95	1295	1530
118	Yavapai	Arizona	27100	19050	2400	210	2485	645	1730	160	420	9525	11090
119	Yuma	Arizona	15285	9795	1305	365	1560	820	980	105	355	5185	5660
120	Unknown	Arizona	745	360	90	30	80	65	75	10	35	155	225
122	"Arkansas, total"	Arkansas	463117	262837	38111	5784	67606	22617	44483	4713	16966	130994	191942
123	Arkansas	Arkansas	4705	2595	440	40	880	235	350	40	125	1355	2150
124	Asbley	Arkansas	4880	2455	440	70	865	275	485	60	230	1335	1950
125	Baxter	Arkansas	11000	7775	910	75	1035	210	695	85	215	3840	4695
126	Benton	Arkansas	21645	14375	2030	160	2290	730	1460	115	485	7200	9160
127	Boone	Arkansas	6790	3960	585	65	890	225	695	75	295	2010	2790
128	Bradley	Arkansas	2975	1505	295	45	615	150	265	25	75	835	1325
129	Calhoun	Arkansas	1065	550	85	20	205	50	115	10	30	305	450
130	Carroll	Arkansas	4195	2650	370	45	530	140	315	40	105	1300	1790
131	Chicot	Arkansas	3330	1670	250	90	575	210	320	45	170	890	1300
132	Clark	Arkansas	4715	2705	415	70	775	155	390	55	150	1375	2080
133	Clay	Arkansas	5045	2725	550	55	855	160	475	65	160	1460	2165
134	Cleburne	Arkansas	5070	3065	555	50	655	150	405	55	135	1650	2035
135	Cleveland	Arkansas	1460	740	135	15	260	65	170	20	55	410	580
136	Columbia	Arkansas	5730	3015	495	65	1065	320	525	50	195	1565	2500
137	Conway	Arkansas	4165	2335	325	50	570	185	485	60	155	1155	1685
138	Craighead	Arkansas	11415	6240	950	105	1775	515	1275	130	425	3015	4820
139	Crawford	Arkansas	7295	3855	545	75	965	435	905	120	395	1940	2760
140	Crittenden	Arkansas	7550	3580	495	190	1270	665	830	95	425	1805	2745
141	Cross	Arkansas	3660	1840	330	70	595	225	355	55	190	965	1425
142	Dallas	Arkansas	2360	1235	220	30	390	115	255	25	90	675	980
143	Desha	Arkansas	3175	1635	260	65	580	225	265	35	110	840	1325
144	Drew	Arkansas	3175	1715	255	50	545	190	290	35	95	860	1330
145	Faulkner	Arkansas	8510	4965	655	110	1125	490	825	80	260	2365	3485
146	Franklin	Arkansas	3370	1845	280	50	510	150	355	50	130	975	1375
147	Fulton	Arkansas	2500	1375	225	30	380	85	275	40	90	740	990
148	Garland	Arkansas	20900	13805	1730	180	2425	565	1630	140	425	6690	8945
149	Grant	Arkansas	2295	1190	230	20	385	110	240	25	95	640	925
150	Greene	Arkansas	6500	3575	565	45	980	260	690	105	280	1800	2660
151	Hempstead	Arkansas	4355	2535	360	55	695	225	325	30	130	1245	1920
152	Hot Spring	Arkansas	5665	3125	510	45	910	245	565	60	205	1640	2335
153	Howard	Arkansas	3120	1810	295	45	520	145	220	10	75	965	1410
154	Independence	Arkansas	6320	3500	565	65	950	265	705	65	205	1845	2545
155	Izard	Arkansas	3545	2190	305	30	470	95	305	40	110	1170	1490
156	Jackson	Arkansas	4755	2435	405	50	780	260	550	60	215	1245	1920
157	Jefferson	Arkansas	14995	8105	1140	275	2400	925	1375	160	615	3935	6175
158	Johnson	Arkansas	4205	2305	385	45	645	160	450	50	165	1190	1740
159	Lafayette	Arkansas	1970	1010	165	30	385	110	180	20	70	540	840
160	Lawrence	Arkansas	4715	2545	450	40	780	185	495	55	165	1385	1935
161	Lee	Arkansas	2700	1245	240	75	455	195	265	45	180	690	1005
162	Lincoln	Arkansas	2000	985	195	60	380	110	170	25	75	540	825
163	Little River	Arkansas	2510	1390	210	20	415	135	225	25	90	690	1060
164	Logan	Arkansas	4910	2650	465	65	730	195	500	75	230	1405	2015
165	Lonoke	Arkansas	5970	3235	510	80	935	350	590	60	210	1675	2460
166	Madison	Arkansas	2485	1370	235	45	325	100	280	25	105	745	950
167	Marion	Arkansas	3245	2055	245	20	335	100	310	45	135	1020	1275
168	Miller	Arkansas	6755	3750	555	85	1075	405	600	55	230	1780	2890
169	Mississippi	Arkansas	9715	5010	670	190	1575	740	960	105	465	2440	3885
170	Monroe	Arkansas	2775	1400	220	65	485	185	260	35	125	750	1125
171	Montgomery	Arkansas	1800	1060	175	25	240	60	175	20	45	570	715
172	Nevada	Arkansas	2245	1275	205	25	380	105	175	20	60	665	1000
173	Newton	Arkansas	1610	785	170	25	225	80	210	25	90	455	575
174	Ouachita	Arkansas	6950	3785	560	75	1225	355	675	60	215	1880	2995
175	Perry	Arkansas	1915	1005	145	35	275	85	235	35	100	510	715
176	Phillips	Arkansas	6795	3195	450	215	1140	595	635	95	470	1655	2510
177	Pike	Arkansas	2375	1285	235	20	410	90	220	25	90	700	1005
178	Poinsett	Arkansas	5445	2700	500	65	950	270	665	70	225	1450	2165
179	Polk	Arkansas	4565	2705	400	65	625	190	385	60	135	1420	1860
180	Pope	Arkansas	8070	4415	635	70	1130	380	1015	110	315	2215	3175
181	Prairie	Arkansas	1815	945	210	25	305	85	165	20	60	540	740
182	Pulaski	Arkansas	53905	31500	3390	740	7165	3470	5215	380	2045	13600	23270
183	Randolph	Arkansas	3730	2010	350	40	580	150	410	50	140	1070	1480
